Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Масштабируемый рефакторинг. Возвращаем контроль над кодом,,Питер:Бестселлеры O`Reilly,1496,1918,22,На складе
Многопоточный JavaScript,"Хантер Томас II, Инглиш Брайан",ДМК-Пресс,1313,2388,45,Ограничено
Языки программирования и методы трансляции. Учебное пособие для вузов,Свердлов Сергей Залманович,Лань:Компьютеры и программное обеспечение,2090,3800,45,На складе
Алгоритмы Data Science и их практическая реализация на Python,Протодьяконов Андрей Владимирович и др.,Инфра-Инженерия,1466,2665,45,На складе
Графический анализ на языке R. Учебно-методическое пособие,Лукьянов Павел Борисович,Прометей,594,1080,45,На складе
Head First. Изучаем C#,"Стиллмен Эндрю, Грин Дженнифер",Питер:Head First (O'Reilly),2666,3418,22,На складе
Основы алгоритмизации и программирования на Visual C++. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,3280,5963,45,На складе
Программирование на языке Си. Учебное пособие для вузов,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2202,4003,45,На складе
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения,Матросов Александр и др.,ДМК-Пресс,2270,4127,45,На складе
Профессиональный бенчмарк. Искусство измерения производительности,Акиньшин Андрей,Питер:Библиотека программиста,2600,3333,22,На складе
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования,"Троелсен Эндрю, Джепикс Филипп",Диалектика,5702,10368,45,На складе
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер:Библиотека программиста,2069,2652,22,На складе
Основы построения экономических моделей в Excel. Учебник для СПО,"Воскобойников Юрий Евгеньевич, Мухина Ирина Николаевна",Лань:Компьютеры и программное обеспечение,1275,2318,45,Ограничено
Программирование на языке Си.Учебное пособие для СПО,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2085,3791,45,На складе
JavaScript.Как писать программы.Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1507,2740,45,Ограничено
JavaScript.Как писать программы Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1507,2740,45,На складе
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук Анатолий Романович и др.,Лань:Учебники для вузов. Специальная литература,2292,4167,45,Ограничено
Язык программирования С++,Страуструп Бьерн,Бином,1716,3120,45,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие для вузов,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1613,2933,45,На складе
Svelte и Sapper в действии,Волкманн Марк,Питер:Для профессионалов,3848,4933,22,На складе
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин Вячеслав Николаевич, Сахнов Константин Сергеевич",Бомбора:Российский компьютерный бестселлер,965,1322,27,На складе
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1560,2837,45,На складе
Структуры данных в Python. Начальный курс,Шихи Дональд Р.,ДМК-Пресс,1135,2064,45,Ограничено
Большая книга проектов Python,Свейгарт Эл,Питер,1548,1985,22,На складе
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1288,1651,22,На складе
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,Питер,2079,2666,22,На складе
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер Лаура, Кенг Ван Лун",Питер:Библиотека программиста,2328,2984,22,На складе
